 sales  title   footage   pc    apple
    86.7     116      78     362     179
      86     122      89     318     197
    76.6     112      70     306     154
    87.6     116      79     337     166
    90.4     122      90     354     184
    91.7     115      77     349     168
    80.7     110      66     330     153
    85.2     113      72     360     182
   106.6     129      93     354     206
    91.4     124      82     381     183
     105     125      85     387     201
   102.3     131      96     387     203
      94     125      85     346     201
    93.6     122      78     339     173
   109.6     140     101     418     211
   108.2     136      92     409     211
   107.9     139      99     414     210
   108.4     138      96     440     226
    89.2     127      75     382     188
    92.6     134      88     383     211
   104.4     129      80     397     213
   107.6     134      88     384     227
   107.2     141      91     407     242
   102.6     141      89     434     217
   104.7     138      84     424     211
   112.2     145      98     428     245
   115.9     145      99     415     237
   113.3     147     103     443     251
   109.1     142      91     414     217
   112.8     145      98     412     250
   111.1     142      92     424     217
   120.8     148     104     441     251
   125.9     161     104     500     270
   128.4     164     111     501     277
   127.9     163     109     471     274
   126.7     164     110     483     282
   120.2     163     107     494     261
   115.1     162     105     456     253
   115.9     167     117     474     275
   134.1     172     125     512     275
   131.8     174     117     520     296
   140.1     170     111     507     275
   157.1     175     119     517     264
   152.7     178     124     499     297
   136.5     173     115     474     278
   140.4     170     109     515     296
   130.8     171     112     482     274
   121.7     167     104     510     282
   124.7     173     115     488     294
   138.6     179     127     539     294
   148.4     188     134     578     325
     142     183     123     536     302
